,SPY_Close,SPY_per_change,SPY_cumulative,SPXL_Close,SPXL_per_change,SPXL_cumulative,ideal_per_change,ideal_cumulative,shares_under,shares_trip,portfolio_SPY_long,portfolio_SPXL_short,portfolio_total,beta_exposure
2017-11-09,258.17,-0.0,1.05,41.34,-0.01,1.16,-0.01,1.16,12.88,-27.36,3325.85,-1130.92,2194.93,-66.91
2017-11-10,258.09,-0.0,1.05,41.26,-0.0,1.16,-0.0,1.15,12.88,-27.36,3324.82,-1128.73,2196.09,-61.37
2017-11-13,258.33,0.0,1.05,41.37,0.0,1.16,0.0,1.16,12.88,-27.36,3327.91,-1131.74,2196.17,-67.31
2017-11-14,257.73,-0.0,1.05,41.1,-0.01,1.15,-0.01,1.15,12.88,-27.36,3320.18,-1124.35,2195.83,-52.88
2017-11-15,256.44,-0.01,1.04,40.46,-0.02,1.13,-0.02,1.13,12.88,-27.36,3303.56,-1106.84,2196.71,-16.97
2017-11-16,258.62,0.01,1.05,41.46,0.02,1.16,0.03,1.16,12.88,-27.36,3331.64,-1134.2,2197.44,-70.96
2017-11-17,257.86,-0.0,1.05,41.13,-0.01,1.15,-0.01,1.15,12.88,-27.36,3321.85,-1125.17,2196.68,-53.67
2017-11-20,258.3,0.0,1.05,41.28,0.0,1.16,0.01,1.16,12.88,-27.36,3327.52,-1129.28,2198.24,-60.31
2017-11-21,259.99,0.01,1.06,42.1,0.02,1.18,0.02,1.18,12.88,-27.36,3349.29,-1151.71,2197.58,-105.84
2017-11-22,259.76,-0.0,1.06,42.01,-0.0,1.18,-0.0,1.18,12.88,-27.36,3346.33,-1149.25,2197.08,-101.41
2017-11-24,260.36,0.0,1.06,42.25,0.01,1.18,0.01,1.19,12.88,-27.36,3354.06,-1155.81,2198.25,-113.38
2017-11-27,260.23,-0.0,1.06,42.21,-0.0,1.18,-0.0,1.18,12.88,-27.36,3352.38,-1154.72,2197.67,-111.77
2017-11-28,262.87,0.01,1.07,43.47,0.03,1.22,0.03,1.22,13.23,-27.01,3476.98,-1174.21,2302.77,-45.65
2017-11-29,262.71,-0.0,1.07,43.39,-0.0,1.22,-0.0,1.22,13.23,-27.01,3474.86,-1172.05,2302.81,-41.28
2017-11-30,265.01,0.01,1.08,44.48,0.03,1.25,0.03,1.25,13.23,-27.01,3505.28,-1201.49,2303.79,-99.19
2017-12-01,264.46,-0.0,1.08,44.25,-0.01,1.24,-0.01,1.24,13.23,-27.01,3498.01,-1195.28,2302.73,-87.82
2017-12-04,264.14,-0.0,1.08,44.09,-0.0,1.24,-0.0,1.24,13.23,-27.01,3493.78,-1190.96,2302.82,-79.09
2017-12-05,263.19,-0.0,1.07,43.6,-0.01,1.22,-0.01,1.22,13.23,-27.01,3481.21,-1177.72,2303.49,-51.95
2017-12-06,263.24,0.0,1.07,43.59,-0.0,1.22,0.0,1.22,13.23,-27.01,3481.87,-1177.45,2304.42,-50.48
2017-12-07,264.07,0.0,1.07,44.01,0.01,1.23,0.01,1.24,13.23,-27.01,3492.85,-1188.79,2304.06,-73.53
2017-12-08,265.51,0.01,1.08,44.73,0.02,1.25,0.02,1.26,13.23,-27.01,3511.9,-1208.24,2303.65,-112.83
2017-12-11,266.31,0.0,1.08,45.14,0.01,1.27,0.01,1.27,13.23,-27.01,3522.48,-1219.32,2303.16,-135.47
2017-12-12,266.78,0.0,1.09,45.39,0.01,1.27,0.01,1.27,13.23,-27.01,3528.7,-1226.07,2302.63,-149.52
2017-12-13,266.75,-0.0,1.09,43.74,-0.04,1.23,-0.0,1.27,13.23,-27.01,3528.3,-1181.5,2346.8,-16.2
2017-12-14,265.66,-0.0,1.08,43.21,-0.01,1.21,-0.01,1.26,13.23,-27.01,3513.88,-1167.18,2346.7,12.33
2017-12-15,266.51,0.0,1.08,44.27,0.02,1.24,0.01,1.27,13.23,-27.01,3525.12,-1195.82,2329.31,-62.33
2017-12-18,268.2,0.01,1.09,45.14,0.02,1.27,0.02,1.29,13.23,-27.01,3547.48,-1219.32,2328.16,-110.48
2017-12-19,267.17,-0.0,1.09,44.52,-0.01,1.25,-0.01,1.28,13.23,-27.01,3533.85,-1202.57,2331.28,-73.86
2017-12-20,267.03,-0.0,1.09,44.42,-0.0,1.24,-0.0,1.28,13.23,-27.01,3532.0,-1199.87,2332.13,-67.61
2017-12-21,267.58,0.0,1.09,44.65,0.01,1.25,0.01,1.29,13.23,-27.01,3539.28,-1206.08,2333.2,-78.97
2017-12-22,267.51,-0.0,1.09,44.6,-0.0,1.25,-0.0,1.28,13.23,-27.01,3538.35,-1204.73,2333.62,-75.84
2017-12-26,267.19,-0.0,1.09,44.44,-0.0,1.25,-0.0,1.28,13.23,-27.01,3534.12,-1200.41,2333.71,-67.11
2017-12-27,267.32,0.0,1.09,44.52,0.0,1.25,0.0,1.28,13.23,-27.01,3535.84,-1202.57,2333.27,-71.87
2017-12-28,267.87,0.0,1.09,44.74,0.0,1.25,0.01,1.29,13.23,-27.01,3543.11,-1208.51,2334.6,-82.43
2017-12-29,266.86,-0.0,1.09,44.33,-0.01,1.24,-0.01,1.27,13.23,-27.01,3529.75,-1197.44,2332.32,-62.56
2018-01-02,268.77,0.01,1.09,45.19,0.02,1.27,0.02,1.3,13.23,-27.01,3555.02,-1220.67,2334.35,-106.99
2018-01-03,270.47,0.01,1.1,45.99,0.02,1.29,0.02,1.33,13.23,-27.01,3577.5,-1242.28,2335.23,-149.33
2018-01-04,271.61,0.0,1.11,46.57,0.01,1.31,0.01,1.34,13.56,-26.68,3683.21,-1242.41,2440.8,-44.01
2018-01-05,273.42,0.01,1.11,47.45,0.02,1.33,0.02,1.37,13.56,-26.68,3707.75,-1265.88,2441.87,-89.9
2018-01-08,273.92,0.0,1.12,47.74,0.01,1.34,0.01,1.38,13.56,-26.68,3714.53,-1273.62,2440.91,-106.33
2018-01-09,274.54,0.0,1.12,48.07,0.01,1.35,0.01,1.39,13.56,-26.68,3722.94,-1282.42,2440.52,-124.33
2018-01-10,274.12,-0.0,1.12,47.79,-0.01,1.34,-0.0,1.38,13.56,-26.68,3717.25,-1274.95,2442.29,-107.62
2018-01-11,276.12,0.01,1.12,48.87,0.02,1.37,0.02,1.41,13.86,-26.38,3827.83,-1288.99,2538.84,-39.15
2018-01-12,277.92,0.01,1.13,49.82,0.02,1.4,0.02,1.44,13.86,-26.38,3852.79,-1314.05,2538.74,-89.37
2018-01-16,276.97,-0.0,1.13,49.29,-0.01,1.38,-0.01,1.42,13.86,-26.38,3839.62,-1300.07,2539.54,-60.6
